id,title,question,date,aye_votes,no_votes,mover,mover_party,division_type,bill_type,portfolio,orig_house,status,conscience_vote,Coalition,Australian Labor Party,Australian Greens,Ms Chaney,Ms Daniel,Dr Haines,Dr M Ryan,Dr Scamps,Ms Spender,Ms Steggall,Ms Tink,Mr Wilkie,Ms Le
1853,Suspension of standing and sessional orders,That the motion be disagreed to,2023-02-09T07:43:26.667,70,15,Mr Wilkie,Independent,procedural,,,,,FALSE,Aye,Aye,No,No,No,No,No,No,No,No,No,No,No
1857,Migration Amendment (Aggregate Sentences) Bill 2023,Detailed amendments—That the amendment be disagreed to,2023-02-13T08:44:55.697,88,56,Mr Tehan,Liberal Party of Australia,bill,Government,Home Affairs,Senate,Act,FALSE,No,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,No
1858,Migration Amendment (Aggregate Sentences) Bill 2023,Detailed amendment—That the amendment be agreed to,2023-02-13T16:15:28.237,54,13,Ms Daniel,Independent,bill,Government,Home Affairs,Senate,Act,FALSE,Aye,Aye,No,No,No,No,No,No,No,No,No,No,Aye
1859,Migration Amendment (Aggregate Sentences) Bill 2023,That the bill be agreed to,2023-02-13T16:39:37.897,54,13,,,bill,Government,Home Affairs,Senate,Act,FALSE,Aye,Aye,No,No,No,No,No,No,No,No,No,No,Aye
1860,Housing Australia Future Fund Bill 2023,2nd reading—That the amendment be disagreed to,2023-02-15T17:26:34.497,77,6,Mr Chandler-Mather,Australian Greens,bill,Government,Finance,House of Representatives,Act,FALSE,Aye,Aye,No,Aye,Aye,No,Aye,Aye,Aye,Aye,Aye,No,Aye
1861,Housing Australia Future Fund Bill 2023,That the bill be read a second time,2023-02-15T17:34:54.593,84,49,Ms Collins,Australian Labor Party,bill,Government,Finance,House of Representatives,Act,FALSE,No,Aye,,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye
1862,Housing Australia Future Fund Bill 2023,Detailed amendment—That the amendment be disagreed to,2023-02-15T17:45:04.363,72,13,Ms Le,Independent,bill,Government,Finance,House of Representatives,Act,FALSE,Aye,Aye,,No,No,No,No,No,No,No,No,No,No
1863,Housing Australia Future Fund Bill 2023,Detailed amendment—That the amendment be disagreed to,2023-02-15T18:14:36.71,51,13,Ms Sharkie,Centre Alliance,bill,Government,Finance,House of Representatives,Act,FALSE,Aye,Aye,,No,No,No,No,No,No,No,No,No,No
1864,National Housing Supply and Affordability Council Bill 2023,Detailed amendments—That amendments (1) to (4) and (7) be disagreed to,2023-02-16T08:12:45.697,74,17,Dr Haines,Independent,bill,Government,Treasury,House of Representatives,Act,FALSE,No,Aye,No,No,No,No,No,No,No,No,No,No,No
1865,National Housing Supply and Affordability Council Bill 2023,Detailed amendment—That the amendment be disagreed to,2023-02-16T09:11:09.343,71,63,Ms Le,Independent,bill,Government,Treasury,House of Representatives,Act,FALSE,No,Aye,No,No,No,No,No,No,No,No,No,No,No
1866,Suspension of standing and sessional orders,That the motion be disagreed to,2023-03-06T08:23:17.6,86,54,Mr Dutton,Liberal National Party of Queensland,procedural,,,,,FALSE,No,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,,
1867,Referendum (Machinery Provisions) Amendment Bill 2022,That the bill be read a second time,2023-03-07T10:10:25.323,88,52,Mr Dreyfus,Australian Labor Party,bill,Government,Finance,House of Representatives,Act,FALSE,No,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye
1868,Referendum (Machinery Provisions) Amendment Bill 2022,Detailed amendments—That amendments (1) to (3) be disagreed to,2023-03-07T16:44:43.617,62,16,Ms Steggall,Independent,bill,Government,Finance,House of Representatives,Act,FALSE,Aye,Aye,No,No,No,No,No,No,No,No,No,No,No
1869,National Reconstruction Fund Corporation Bill 2022,That the bill be read a second time,2023-03-09T08:16:28.18,89,53,Mr Husic,Australian Labor Party,bill,Government,"Industry, Science and Resources",House of Representatives,Act,FALSE,No,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye
1870,National Reconstruction Fund Corporation Bill 2022,Detailed amendment—That the amendment be agreed to,2023-03-09T09:10:43.387,84,54,Mr Bandt,Australian Greens,bill,Government,"Industry, Science and Resources",House of Representatives,Act,FALSE,No,Aye,Aye,Aye,Aye,Aye,,Aye,Aye,Aye,,Aye,
1871,National Reconstruction Fund Corporation Bill 2022,Detailed amendments—That the amendments be disagreed to,2023-03-09T09:45:34.907,67,15,Dr Scamps,Independent,bill,Government,"Industry, Science and Resources",House of Representatives,Act,FALSE,Aye,Aye,No,No,No,No,,No,No,No,No,No,No
1872,Migration (Visa Pre-application Process) Charge Bill 2023,That the bill be agreed to,2023-03-09T10:10:16.563,86,52,,,bill,Government,Home Affairs,House of Representatives,Act,FALSE,No,Aye,Aye,Aye,Aye,Aye,,Aye,Aye,,Aye,Aye,Aye
1873,Migration Amendment (Australia’s Engagement in the Pacific and Other Measures) Bill 2023,2nd reading—That the amendment be disagreed to,2023-03-09T11:49:34.24,86,52,Mr Tehan,Liberal Party of Australia,bill,Government,Home Affairs,House of Representatives,Act,FALSE,No,Aye,Aye,Aye,Aye,Aye,,Aye,Aye,,Aye,Aye,Aye
1874,Migration Amendment (Australia’s Engagement in the Pacific and Other Measures) Bill 2023,That the bill be read a second time,2023-03-09T11:56:25.087,86,52,Mr Giles,Australian Labor Party,bill,Government,Home Affairs,House of Representatives,Act,FALSE,No,Aye,Aye,Aye,Aye,Aye,,Aye,Aye,,Aye,Aye,Aye
1875,Treasury Laws Amendment (2023 Measures No. 1) Bill 2023,Detailed amendments—That the Opposition amendments be disagreed to,2023-03-09T11:58:45.957,82,56,Mr Taylor,Liberal Party of Australia,bill,Government,Treasury,House of Representatives,Act,FALSE,No,Aye,Aye,Aye,No,Aye,,No,No,,No,Aye,Aye
1877,Suspension of standing and sessional orders,That the motion for the suspension of standing and sessional orders be disagreed to,2023-03-21T16:25:54,56,12,Mr Bandt,Australian Greens,procedural,,,,,FALSE,Aye,Aye,No,,No,No,No,No,No,No,No,No,Aye
1878,Suspension of standing and sessional orders,That the motion be disagreed to,2023-03-22T10:52:27.417,73,70,Mr Dutton,Liberal National Party of Queensland,procedural,,,,,FALSE,No,Aye,No,No,No,No,No,No,No,No,No,No,No
1879,Financial Accountability Regime Bill 2023,Detailed amendments—That the amendments be disagreed to,2023-03-22T11:27:53.897,58,9,Mr Chandler-Mather,Australian Greens,bill,Government,Treasury,House of Representatives,Act,FALSE,Aye,Aye,No,Aye,No,No,No,No,Aye,Aye,Aye,No,
1880,Closure of member,That the motion be disagreed to,2023-03-22T16:46:11.94,79,52,Mr Conaghan,The Nationals,bill,Government,"Climate Change, Energy, the Environment and Water",House of Representatives,Act,FALSE,No,Aye,Aye,,,,,Aye,,,Aye,,
1881,Closure of member,That the motion be disagreed to,2023-03-22T16:56:58.343,86,51,Ms Bell,Liberal National Party of Queensland,bill,Government,"Climate Change, Energy, the Environment and Water",House of Representatives,Act,FALSE,No,Aye,Aye,Aye,Aye,Aye,Aye,Aye,,,Aye,Aye,
1882,Members time be extended,That the motion be agreed to,2023-03-22T17:31:24.253,86,51,Mr Burke,Australian Labor Party,bill,Government,"Climate Change, Energy, the Environment and Water",House of Representatives,Act,FALSE,No,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,,Aye,Aye,
1883,Closure of member,That the motion be disagreed to,2023-03-22T17:40:49.217,78,51,Mr Hogan,The Nationals,bill,Government,"Climate Change, Energy, the Environment and Water",House of Representatives,Act,FALSE,No,Aye,Aye,,,Aye,,,,,,,
1884,Extension of time,That the motion be agreed to,2023-03-22T18:17:55.257,79,52,Mr Burke,Australian Labor Party,bill,Government,"Climate Change, Energy, the Environment and Water",House of Representatives,Act,FALSE,No,Aye,Aye,,,Aye,,,,,Aye,,
1885,Education Legislation Amendment (Startup Year and Other Measures) Bill 2023,2nd reading—That the amendment be disagreed to,2023-03-23T12:33:07.53,76,57,Mr Fletcher,Liberal Party of Australia,bill,Government,House of Representatives,Act,47,FALSE,No,Aye,Aye,No,Aye,No,Aye,Aye,No,No,Aye,No,No
1886,Safeguard Mechanism (Crediting) Amendment Bill 2022,That the bill be read a second time,2023-03-27T12:18:04.77,89,55,Mr Bowen,Australian Labor Party,bill,Government,"Climate Change, Energy, the Environment and Water",House of Representatives,Act,FALSE,No,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye
1887,Safeguard Mechanism (Crediting) Amendment Bill 2022d,Detailed amendments—That the Government amendments be agreed to,2023-03-27T12:26:39.367,89,55,Mr Bowen,Australian Labor Party,bill,Government,"Climate Change, Energy, the Environment and Water",House of Representatives,Act,FALSE,No,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye
1888,Safeguard Mechanism (Crediting) Amendment Bill 2022,"That the bill, as amended, be agreed to",2023-03-27T12:44:39.507,87,55,,,bill,Government,"Climate Change, Energy, the Environment and Water",House of Representatives,Act,FALSE,No,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,No
1889,Social Security (Administration) Amendment (Income Management Reform) Bill 2023,2nd reading—That the amendment be disagreed to,2023-03-28T15:05:37.603,95,6,Mr Bates,Australian Greens,bill,Government,Social Services,House of Representatives,Act,FALSE,Aye,Aye,No,Aye,Aye,No,Aye,Aye,Aye,Aye,Aye,No,
1890,Social Security (Administration) Amendment (Income Management Reform) Bill 2023,2nd reading—That the amendment be disagreed to,2023-03-28T17:27:35.557,87,53,Mr Sukkar,Liberal Party of Australia,bill,Government,Social Services,House of Representatives,Act,FALSE,No,Aye,Aye,Aye,Aye,Aye,Aye,Aye,,Aye,Aye,Aye,No
1891,Social Security (Administration) Amendment (Income Management Reform) Bill 2023,That the bill be read a second time,2023-03-28T17:34:23.413,96,5,Ms Rishworth,Australian Labor Party,bill,Government,Social Services,House of Representatives,Act,FALSE,Aye,Aye,No,Aye,Aye,Aye,Aye,Aye,,Aye,Aye,No,
1892,Social Security (Administration) Amendment (Income Management Reform) Bill 2023,Detailed amendments—That amendments (1) to (5) be disagreed to,2023-03-28T17:56:51.393,85,5,Mr Bates,Australian Greens,bill,Government,Social Services,House of Representatives,Act,FALSE,Aye,Aye,No,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,No,
1893,National Reconstruction Fund Corporation Bill 2023,Senate amendments—That the amendments be agreed to,2023-03-29T08:09:45.597,87,55,Mr Husic,Australian Labor Party,bill,Government,"Industry, Science and Resources",House of Representatives,Act,FALSE,No,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,No
1894,Suspension of standing and sessional orders,That the motion be disagreed to,2023-03-29T12:06:36.373,47,14,Ms Steggall,Independent,procedural,,,,,FALSE,Aye,Aye,No,No,No,No,No,No,No,No,No,No,
1896,Amendments to Standing Orders,That the amendment to the amendment proposed by Mr Fletcher be agreed to,2023-03-30T08:21:58.357,90,52,Mr Wilkie,Independent,procedural,,,,,FALSE,No,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,,Aye,Aye
1897,Safeguard Mechanism (Crediting) Amendment Bill 2023,Senate amendments—That the amendments be agreed to,2023-03-30T12:51:15.67,89,50,Mr Bowen,Australian Labor Party,bill,Government,"Climate Change, Energy, the Environment and Water",House of Representatives,Act,FALSE,No,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye
1903,Jobs and Skills Australia Amendment Bill 2023,That the bill be read a second time,2023-05-11T10:20:23.36,90,53,Mr O'Connor,Australian Labor Party,bill,Government,Employment and Workplace Relations,House of Representatives,Act,FALSE,No,Aye,Aye,Aye,Aye,Aye,Aye,Aye,,Aye,Aye,Aye,Aye
1904,Family Law Amendment Bill 2023,That the bill be read a second time,2023-05-11T12:11:32.017,88,55,Mr Dreyfus,Australian Labor Party,bill,Government,Attorney-General,House of Representatives,Act,FALSE,No,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,No
1905,Jobs and Skills Australia Amendment Bill 2023,That Opposition amendments (1) to (3) be disagreed to,2023-05-11T13:19:05.563,84,55,Ms Ley,Liberal Party of Australia,bill,Government,Employment and Workplace Relations,House of Representatives,Act,FALSE,No,Aye,Aye,,Aye,Aye,Aye,Aye,,,No,Aye,No
1906,Jobs and Skills Australia Amendment Bill 2023,That Opposition amendment (4) be disagreed to,2023-05-11T17:20:32.857,83,58,Ms Ley,Liberal Party of Australia,bill,Government,Employment and Workplace Relations,House of Representatives,Act,FALSE,No,Aye,Aye,,Aye,Aye,Aye,No,Aye,,No,Aye,No
1907,Jobs and Skills Australia Amendment Bill 2023,Detailed amendments—That the amendments be disagreed to,2023-05-11T17:28:09.9,78,14,Dr Scamps,Independent,bill,Government,Employment and Workplace Relations,House of Representatives,Act,FALSE,Aye,Aye,No,No,No,No,No,No,No,,No,No,No
1908,Jobs and Skills Australia Amendment Bill 2023,Detailed amendments—That the Government amendments be agreed to,2023-05-11T17:44:06.59,88,53,Mr O'Connor,Australian Labor Party,bill,Government,Employment and Workplace Relations,House of Representatives,Act,FALSE,No,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,,Aye,Aye,Aye
1919,Infrastructure Australia Amendment (Independent Review) Bill 2023,2nd reading—That the amendment be disagreed to,2023-05-24T07:52:13.057,84,51,Mr Chester,The Nationals,bill,Government,"Infrastructure, Transport, Regional Development, Communications and the Arts",House of Representatives,Act,FALSE,No,Aye,Aye,Aye,Aye,Aye,Aye,Aye,,Aye,Aye,Aye,No
1920,Infrastructure Australia Amendment (Independent Review) Bill 2023,Detailed amendment—That the Opposition amendment be disagreed to,2023-05-24T09:42:55.397,77,62,Mr Chester,The Nationals,bill,Government,"Infrastructure, Transport, Regional Development, Communications and the Arts",House of Representatives,Act,FALSE,No,Aye,Aye,No,No,No,No,No,No,No,No,No,No
1921,Infrastructure Australia Amendment (Independent Review) Bill 2023,"Detailed amendments—That amendments (1), (2), (5) and (7) be disagreed to",2023-05-24T10:07:18.083,84,15,Ms Spender,Independent,bill,Government,"Infrastructure, Transport, Regional Development, Communications and the Arts",House of Representatives,Act,FALSE,Aye,Aye,No,No,No,No,No,No,No,No,No,No,No
1922,Infrastructure Australia Amendment (Independent Review) Bill 2023,"Detailed amendments—That amendments (3), (4), (6) and (8) to (10) be disagreed to",2023-05-24T10:25:54.967,64,14,Ms Spender,Independent,bill,Government,"Infrastructure, Transport, Regional Development, Communications and the Arts",House of Representatives,Act,FALSE,Aye,Aye,No,No,No,No,No,No,No,No,No,No,No
1923,Infrastructure Australia Amendment (Independent Review) Bill 2023,Detailed amendments—That the amendments be disagreed to,2023-05-24T10:51:49.49,50,16,Ms Tink,Independent,bill,Government,"Infrastructure, Transport, Regional Development, Communications and the Arts",House of Representatives,Act,FALSE,Aye,Aye,No,No,No,No,No,No,No,No,No,No,No
1924,Infrastructure Australia Amendment (Independent Review) Bill 2023,"Detailed amendments—That amendments (1), (2) and (7) be disagreed to",2023-05-24T11:18:54.34,51,16,Ms Le,Independent,bill,Government,"Infrastructure, Transport, Regional Development, Communications and the Arts",House of Representatives,Act,FALSE,Aye,Aye,No,No,No,No,No,No,No,No,No,No,No
1925,Infrastructure Australia Amendment (Independent Review) Bill 2023,"Detailed amendments—That amendments (3) to (6), (8) and (9) be disagreed to",2023-05-24T11:36:30.877,48,16,Ms Le,Independent,bill,Government,"Infrastructure, Transport, Regional Development, Communications and the Arts",House of Representatives,Act,FALSE,Aye,Aye,No,No,No,No,No,No,No,No,No,No,No
1926,Infrastructure Australia Amendment (Independent Review) Bill 2023,Detailed amendments—That the amendments be disagreed to,2023-05-24T12:01:43.537,57,16,Dr Scamps,Independent,bill,Government,"Infrastructure, Transport, Regional Development, Communications and the Arts",House of Representatives,Act,FALSE,Aye,Aye,No,No,No,No,No,No,No,No,No,No,No
1927,Fair Work Legislation Amendment (Protecting Worker Entitlements) Bill 2023,"Detailed amendments—That the Opposition amendments (1), (5), (6), (9) to (11) be disagreed to",2023-05-25T07:43:04.34,79,61,Mr Fletcher,Liberal Party of Australia,bill,Government,Employment and Workplace Relations,House of Representatives,Act,FALSE,No,Aye,Aye,No,No,Aye,No,No,No,Aye,No,No,No
1928,Fair Work Legislation Amendment (Protecting Worker Entitlements) Bill 2023,Detailed amendments—That Opposition amendment (2) be disagreed to,2023-05-25T10:15:59.49,81,59,Mr Fletcher,Liberal Party of Australia,bill,Government,Employment and Workplace Relations,House of Representatives,Act,FALSE,No,Aye,Aye,No,Aye,Aye,No,No,No,Aye,No,Aye,No
1929,Fair Work Legislation Amendment (Protecting Worker Entitlements) Bill 2023,Detailed amendments—That Opposition amendment (3) be disagreed to,2023-05-25T10:22:22.23,78,62,Mr Fletcher,Liberal Party of Australia,bill,Government,Employment and Workplace Relations,House of Representatives,Act,FALSE,No,Aye,Aye,No,No,No,No,No,No,No,No,Aye,No
1930,Fair Work Legislation Amendment (Protecting Worker Entitlements) Bill 2023,Detailed amendment—That Opposition amendment (4) be disagreed to,2023-05-25T10:27:23.273,82,58,Mr Fletcher,Liberal Party of Australia,bill,Government,Employment and Workplace Relations,House of Representatives,Act,FALSE,No,Aye,Aye,No,Aye,Aye,Aye,No,No,Aye,No,Aye,No
1931,Fair Work Legislation Amendment (Protecting Worker Entitlements) Bill 2023,Detailed amendment—That Opposition amendment (7) be disagreed to,2023-05-25T10:32:33.323,84,56,Mr Fletcher,Liberal Party of Australia,bill,Government,Employment and Workplace Relations,House of Representatives,Act,FALSE,No,Aye,Aye,Aye,Aye,Aye,No,No,No,Aye,No,Aye,No
1932,Fair Work Legislation Amendment (Protecting Worker Entitlements) Bill 2023,Detailed amendment—That Opposition amendment (8) be disagreed to,2023-05-25T10:37:57.453,79,61,Mr Fletcher,Liberal Party of Australia,bill,Government,Employment and Workplace Relations,House of Representatives,Act,FALSE,No,Aye,Aye,No,No,Aye,Aye,No,No,No,No,No,No
1944,Constitution Alteration (Aboriginal and Torres Strait Islander Voice) 2023,That the bill be read a second time,2023-05-31T08:04:02.143,120,25,Mr Dreyfus,Australian Labor Party,bill,Government,Attorney-General,House of Representatives,Passed Both Houses,FALSE,Aye,Aye,Aye,Aye,Aye,Aye,Aye,,Aye,Aye,Aye,Aye,Aye
1945,Constitution Alteration (Aboriginal and Torres Strait Islander Voice) 2023,That the bill be agreed to,2023-05-31T09:12:13.463,121,25,,,bill,Government,Attorney-General,House of Representatives,Passed Both Houses,FALSE,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye
1946,Constitution Alteration (Aboriginal and Torres Strait Islander Voice) 2023,That the bill be read a third time,2023-05-31T09:37:07.423,121,25,Mr Dreyfus,Australian Labor Party,bill,Government,Attorney-General,House of Representatives,Passed Both Houses,FALSE,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye
1947,Migration Amendment (Giving Documents and Other Measures) Bill 2023,That the bill be read a second time,2023-05-31T09:47:27.373,91,53,Mr Giles,Australian Labor Party,bill,Government,Home Affairs,House of Representatives,Act,FALSE,No,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,
1948,Migration Amendment (Giving Documents and Other Measures) Bill 2023,Detail amendments—That the Opposition amendments be disagreed to,2023-05-31T09:57:08.3,89,56,Mr Tehan,Liberal Party of Australia,bill,Government,Home Affairs,House of Representatives,Act,FALSE,No,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,No
1949,Social Services and Other Legislation Amendment (Strengthening the Safety Net) Bill 2023,2nd reading—That the amendment moved by Ms Tink to the amendment proposed by Mr Bates be disagreed to,2023-05-31T10:11:46.097,72,15,Ms Tink,Independent,bill,Government,Social Services,House of Representatives,Act,FALSE,Aye,Aye,No,No,No,No,No,No,No,No,No,No,No
1950,Social Services and Other Legislation Amendment (Strengthening the Safety Net) Bill 2023,2nd reading—That the amendment moved by Mr Bates to the amendment moved by Mr Sukkar be disagreed to,2023-05-31T17:46:37.553,77,14,Mr Bates,Australian Greens,bill,Government,Social Services,House of Representatives,Act,FALSE,Aye,Aye,No,No,No,No,No,No,No,No,No,No,No
1951,Social Services and Other Legislation Amendment (Strengthening the Safety Net) Bill 2023,2nd reading—That the amendment be disagreed to,2023-05-31T17:53:16.547,90,49,Mr Sukkar,Liberal Party of Australia,bill,Government,Social Services,House of Representatives,Act,FALSE,No,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye
1953,Inspector-General of Live Animal Exports Amendment (Animal Welfare) Bill 2023,2nd reading - That the amendment be disagreed to,2023-05-31T18:27:50.09,31,13,Mr Wilkie,Independent,procedural,,,,,FALSE,Aye,Aye,No,Aye,No,Aye,No,No,No,No,No,No,No
1954,Inspector-General of Live Animal Exports Amendment (Animal Welfare) Bill 2023,That the bill be read a second time,2023-05-31T18:46:46.3,87,51,Ms C King,Australian Labor Party,procedural,,,,,FALSE,No,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,,Aye,Aye,Aye
1981,Suspension of standing and sessional orders,That the motion be disagreed to,2023-06-14T08:44:10.957,43,14,Ms Daniel,Independent,procedural,,,,,FALSE,Aye,Aye,No,,No,No,No,No,No,No,No,No,No
1982,Nature Repair Market Bill 2023,That the bill be read a second time,2023-06-21T08:00:08.21,82,55,Ms Plibersek,Australian Labor Party,bill,Government,"Climate Change, Energy, the Environment and Water",House of Representatives,Act,FALSE,No,Aye,No,Aye,No,Aye,Aye,Aye,Aye,Aye,Aye,No,Aye
1983,Public Service Amendment Bill 2023,2nd reading—That the amendment be agreed to,2023-08-01T11:15:28.693,12,53,Ms Daniel,Independent,bill,Government,Prime Minister and Cabinet,House of Representatives,Act,FALSE,No,No,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,No,Aye
1984,Public Service Amendment Bill 2023,Detail amendments—That amendments (1 and 2) be agreed to,2023-08-01T16:48:52.883,14,52,Ms Le,Independent,bill,Government,Prime Minister and Cabinet,House of Representatives,Act,FALSE,No,No,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye
1985,Public Service Amendment Bill 2023,Detail amendments—That amendment (3) be agreed to,2023-08-01T16:55:44.56,14,50,Dr Scamps,Independent,bill,Government,Prime Minister and Cabinet,House of Representatives,Act,FALSE,No,No,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye
1986,Environment Protection (Sea Dumping) Amendment (Using New Technologies to Fight Climate Change) Bill 2023,That the bill be read a second time,2023-08-03T08:07:26.94,57,12,Ms Plibersek,Australian Labor Party,bill,Government,"Climate Change, Energy, the Environment and Water",House of Representatives,Act,FALSE,Aye,Aye,No,No,No,No,No,No,No,No,No,No,
1987,Environment Protection (Sea Dumping) Amendment (Using New Technologies to Fight Climate Change) Bill 2023,That the amendments be agreed to,2023-08-03T10:23:50.957,12,53,Dr Scamps,Independent,bill,Government,"Climate Change, Energy, the Environment and Water",House of Representatives,Act,FALSE,No,No,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,No
1988,Environment Protection (Sea Dumping) Amendment (Using New Technologies to Fight Climate Change) Bill 2023,Detail amendments—That the amendment be agreed to,2023-08-03T10:39:53.65,12,55,Ms Steggall,Independent,bill,Government,"Climate Change, Energy, the Environment and Water",House of Representatives,Act,FALSE,No,No,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,No
1989,Environment Protection (Sea Dumping) Amendment (Using New Technologies to Fight Climate Change) Bill 2023,Detail amendments—That the amendments (1 and 2) be agreed to,2023-08-03T11:04:27.373,13,56,Ms Tink,Independent,bill,Government,"Climate Change, Energy, the Environment and Water",House of Representatives,Act,FALSE,No,No,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye
1990,Environment Protection (Sea Dumping) Amendment (Using New Technologies to Fight Climate Change) Bill 2023,Detail amendments—That the amendments (1 and 2) be agreed to,2023-08-03T11:25:38,12,54,Dr Haines,Independent,bill,Government,"Climate Change, Energy, the Environment and Water",House of Representatives,Act,FALSE,No,No,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,No
1991,Environment Protection (Sea Dumping) Amendment (Using New Technologies to Fight Climate Change) Bill 2023,That the bill be agreed to,2023-08-03T11:44:26.917,68,12,,,bill,Government,"Climate Change, Energy, the Environment and Water",House of Representatives,Act,FALSE,Aye,Aye,No,No,No,No,No,No,No,No,No,No,Aye
1992,Suspension of standing and sessional orders,That the motion be agreed to,2023-08-03T11:53:53.473,52,90,Mr Dutton,Liberal National Party of Queensland,procedural,,,,,FALSE,Aye,No,No,No,No,No,No,No,No,No,No,No,
1993,Jobs and Skills Australia Amendment Bill 2023,That the Senate amendments be agreed to,2023-08-07T09:04:35.647,79,50,Mr O'Connor,Australian Labor Party,bill,Government,Employment and Workplace Relations,House of Representatives,Act,FALSE,No,Aye,Aye,,Aye,,Aye,,,,Aye,Aye,
1995,Treasury Laws Amendment (Making Multinationals Pay Their Fair Share—Integrity and Transparency) Bill 2023,2nd reading—That the amendment be agreed to,2023-08-09T08:22:19.423,54,86,Mr Taylor,Liberal Party of Australia,bill,Government,Treasury,House of Representatives,Act,FALSE,Aye,No,No,No,No,No,No,No,,No,,No,
1996,Robodebt,That the amendment be agreed to,2023-08-10T08:15:49.54,49,86,Mr Fletcher,Liberal Party of Australia,procedural,,,,,FALSE,Aye,No,No,No,No,No,No,No,No,,,No,No
1997,Robodebt,That the motion be agreed to,2023-08-10T12:38:33.557,88,50,Mr Shorten,Australian Labor Party,procedural,,,,,FALSE,No,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,,Aye,Aye
2010,Fair Work Legislation Amendment (Closing Loopholes) Bill 2023,That the amendment be agreed to,2023-09-04T15:49:30.17,62,80,Mr Fletcher,Liberal Party of Australia,bill,Government,Employment and Workplace Relations,House of Representatives,Act,FALSE,Aye,No,No,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,No,Aye
2011,Motion-Bill-Reference to Committee,That the motion be agreed to,2023-09-05T11:05:37.24,63,80,Mr Fletcher,Liberal Party of Australia,bill,Government,Employment and Workplace Relations,House of Representatives,Act,FALSE,Aye,No,No,Aye,Aye,Aye,Aye,Aye,Aye,Aye,,No,Aye
2012,Suspension of standing orders,That the motion be agreed to,2023-09-06T09:41:04.563,15,84,Mr Wilkie,Independent,procedural,,,,,FALSE,No,No,Aye,Aye,Aye,Aye,,Aye,Aye,Aye,Aye,Aye,Aye
2013,Higher Education Support Amendment (Response to the Australian Universities Accord Interim Report) Bill 2023,2nd reading—That the amendment be agreed to,2023-09-06T10:39:36.343,51,88,Mr Pasin,Liberal Party of Australia,bill,Government,Education,House of Representatives,Act,FALSE,Aye,No,No,No,No,No,,No,No,No,No,No,No
2014,Closure of question,That the question be put,2023-09-06T13:19:09.287,73,68,Mr Burke,Australian Labor Party,procedural,,,,,FALSE,No,Aye,No,No,No,No,No,No,No,No,No,No,No
2015,Questions without notice,Motion of dissent be agreed to,2023-09-06T14:54:03.163,53,86,Mr Fletcher,Liberal Party of Australia,procedural,,,,,FALSE,Aye,No,No,No,No,No,No,No,No,No,No,,No
2016,Suspension of standing orders,That the motion be agreed to,2023-09-07T07:58:02.46,16,51,Mr Bandt,Australian Greens,procedural,,,,,FALSE,No,No,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye,Aye
2017,Suspension of standing orders,That the motion be agreed to,2023-09-07T12:16:06.843,51,76,Mr Dutton,Liberal National Party of Queensland,procedural,,,,,FALSE,Aye,No,No,,,,,,,,,Aye,
